Protein stable ID	Gene name
	MTCO3P1
ENSP00000343943	PPOX
ENSP00000356978	PPOX
ENSP00000491230	PPOX
	PPOX
ENSP00000492580	PPOX
ENSP00000439613	PPOX
ENSP00000444216	PPOX
ENSP00000490967	PPOX
	PPOX
ENSP00000443769	PPOX
	PPOX
ENSP00000491797	PPOX
	PPOX
	PPOX
	PPOX
ENSP00000439544	PPOX
	PPOX
ENSP00000438136	PPOX
	PPOX
	FKBP11
	FKBP11
ENSP00000412403	FKBP11
ENSP00000449751	FKBP11
ENSP00000447411	FKBP11
	FKBP11
ENSP00000256680	FKBP11
ENSP00000447911	FKBP11
ENSP00000396874	FKBP11
	FKBP11
ENSP00000448805	FKBP11
	FKBP11
	FKBP11
ENSP00000297977	HDX
ENSP00000423670	HDX
ENSP00000362272	HDX
	HDX
ENSP00000387790	HDX
	HDX
	AL157871.5
	AL157871.1
	AL157871.1
ENSP00000447059	RND1
ENSP00000308461	RND1
	RND1
	RND1
	RND1
ENSP00000449045	RND1
	AC024937.2
	AC127070.2
ENSP00000357412	LENEP
ENSP00000376278	LENEP
ENSP00000350162	SYCP2
ENSP00000404358	SYCP2
ENSP00000402456	SYCP2
	SYCP2
	SYCP2
	SYCP2
	SYCP2
ENSP00000399300	SYCP2
ENSP00000360040	SYCP2
	AL390728.4
	AL390728.4
	AL390728.4
	AL390728.4
	AL096829.1
	AC093156.1
	AC005606.1
	AL713866.2
	AC124944.3
	AC124944.3
	AC124944.3
	AC124944.3
	ZNF598
ENSP00000455882	ZNF598
	ZNF598
	ZNF598
ENSP00000455308	ZNF598
ENSP00000456128	ZNF598
	ZNF598
	ZNF598
ENSP00000455292	ZNF598
	LINC01701
	PKNOX2-AS1
	AL035417.1
	OOSP1P1
ENSP00000487742	TRBC1
ENSP00000417854	PRSS1
	PRSS1
ENSP00000308720	PRSS1
	PRSS1
ENSP00000419912	PRSS1
	PRSS1
ENSP00000481361	PRSS1
ENSP00000402639	BTNL2
ENSP00000409507	BTNL2
ENSP00000394378	BTNL2
ENSP00000449356	BTNL2
ENSP00000450139	BTNL2
ENSP00000448929	BTNL2
	CACNB3
ENSP00000449389	CACNB3
ENSP00000445495	CACNB3
	CACNB3
	CACNB3
ENSP00000444160	CACNB3
ENSP00000446611	CACNB3
	CACNB3
	CACNB3
	CACNB3
ENSP00000448074	CACNB3
	CACNB3
	CACNB3
ENSP00000448137	CACNB3
ENSP00000446529	CACNB3
ENSP00000301050	CACNB3
ENSP00000449497	CACNB3
	CACNB3
ENSP00000448304	CACNB3
ENSP00000447462	CACNB3
	CACNB3
ENSP00000447261	CACNB3
ENSP00000448076	CACNB3
	CACNB3
	PGBD4P1
	BX323046.1
	AL023284.3
	AL023284.3
ENSP00000406327	COX20
ENSP00000355486	COX20
	COX20
	COX20
	COX20
	AL356273.3
	AL356273.1
ENSP00000310622	APOBEC4
	APOBEC4
ENSP00000477652	KIR3DL3
	AL139220.2
	AL139220.2
	AL139220.2
	AL139220.2
	AL139220.2
	AL139220.2
	AL139220.2
	AL139220.2
	AL139220.2
	AL139220.2
	AL139220.2
	AL139220.2
	AL139220.2
	AL139220.2
	AL139220.2
	AL139220.2
	AL139220.2
	AL139220.2
	AL139220.2
	AL139220.2
	AL139220.2
	AL139220.2
	AL139220.2
	AC112184.1
ENSP00000497601	COLGALT2
	COLGALT2
ENSP00000356491	COLGALT2
ENSP00000354960	COLGALT2
ENSP00000356490	COLGALT2
	THBS4
	THBS4
ENSP00000339730	THBS4
ENSP00000422298	THBS4
	THBS4
	THBS4
	THBS4
	AC004812.1
ENSP00000312277	ZNF507
	ZNF507
ENSP00000441549	ZNF507
ENSP00000348162	ZNF507
	ZNF507
	AL139220.1
ENSP00000476661	CCDC24
ENSP00000361392	CCDC24
ENSP00000476285	CCDC24
ENSP00000476322	CCDC24
	CCDC24
ENSP00000476914	CCDC24
ENSP00000476589	CCDC24
	CCDC24
ENSP00000476456	CCDC24
	CCDC24
	CCDC24
ENSP00000370011	SH3BGR
ENSP00000370008	SH3BGR
ENSP00000404980	SH3BGR
ENSP00000401572	SH3BGR
ENSP00000370005	SH3BGR
ENSP00000332513	SH3BGR
ENSP00000405675	SH3BGR
ENSP00000413981	SH3BGR
ENSP00000403115	SH3BGR
	TRMT112P2
	AC135803.1
	VDAC3P1
ENSP00000393241	RPS18
ENSP00000434837	RPS18
	RPS18
	RPS18
	RPS18
	RPS18
	RPS18
	RPS18
ENSP00000493902	TSEN15
ENSP00000402002	TSEN15
ENSP00000355299	TSEN15
ENSP00000435144	TSEN15
ENSP00000494932	TSEN15
ENSP00000436996	TSEN15
ENSP00000495178	TSEN15
	TSEN15
ENSP00000495344	TSEN15
ENSP00000494533	TSEN15
ENSP00000494455	TSEN15
ENSP00000495621	TSEN15
ENSP00000496242	TSEN15
ENSP00000432397	TSEN15
ENSP00000495409	TSEN15
ENSP00000494978	TSEN15
ENSP00000495107	TSEN15
ENSP00000496688	TSEN15
	TSEN15
	TSEN15
ENSP00000436596	TMEM218
	TMEM218
ENSP00000436578	TMEM218
	TMEM218
ENSP00000433023	TMEM218
ENSP00000434597	TMEM218
ENSP00000279968	TMEM218
	TMEM218
ENSP00000436177	TMEM218
ENSP00000435526	TMEM218
ENSP00000432624	TMEM218
ENSP00000433374	TMEM218
ENSP00000436162	TMEM218
ENSP00000433996	TMEM218
ENSP00000431411	TMEM218
ENSP00000436151	TMEM218
	TMEM218
	RPS26P4
	AC117498.3
	WASH8P
	ACTN1-AS1
	ACTN1-AS1
	RPS29P1
ENSP00000410228	WRB
ENSP00000497322	WRB
ENSP00000497103	WRB
ENSP00000327716	WRB
ENSP00000496813	WRB
ENSP00000485555	WRB
ENSP00000497171	WRB
ENSP00000497111	WRB
	WRB
	WRB
ENSP00000497189	WRB
ENSP00000381737	WRB
ENSP00000498209	WRB
ENSP00000409030	WRB
ENSP00000370089	WRB
ENSP00000370084	WRB
ENSP00000485215	WRB
ENSP00000497593	WRB
	WRB
	WRB
ENSP00000485087	WRB
	WRB
	WRB
	WRB
ENSP00000483192	KIR2DL3
	DHRS1
	DHRS1
	DHRS1
ENSP00000288111	DHRS1
	DHRS1
ENSP00000380027	DHRS1
ENSP00000453949	DHRS1
	DHRS1
	DHRS1
	DHRS1
	DHRS1
ENSP00000385822	SLC6A4
ENSP00000463172	SLC6A4
	SLC6A4
ENSP00000378298	SLC6A4
ENSP00000261707	SLC6A4
ENSP00000436612	VPS52
ENSP00000409952	VPS52
	VPS52
	VPS52
	VPS52
	VPS52
	VPS52
	VPS52
	VPS52
	VPS52
	VPS52
ENSP00000359909	CRYZ
ENSP00000339399	CRYZ
	CRYZ
ENSP00000359908	CRYZ
ENSP00000359907	CRYZ
ENSP00000404289	CRYZ
ENSP00000399805	CRYZ
	DDX18P1
ENSP00000341351	DCAF5
ENSP00000451551	DCAF5
ENSP00000452052	DCAF5
ENSP00000451845	DCAF5
	DCAF5
ENSP00000452077	DCAF5
ENSP00000374647	DCAF5
ENSP00000451394	DCAF5
	DCAF5
ENSP00000357430	SHC1
ENSP00000401303	SHC1
ENSP00000357434	SHC1
ENSP00000357438	SHC1
ENSP00000357435	SHC1
	SHC1
ENSP00000396333	SHC1
ENSP00000404908	SHC1
ENSP00000398864	SHC1
ENSP00000398441	SHC1
ENSP00000396162	SHC1
	AL445228.1
	AL445228.2
	AL078645.1
	AL078645.2
ENSP00000235307	C1orf21
ENSP00000498051	C1orf21
	C1orf21
	C1orf21
	C1orf21
	AC007773.1
ENSP00000465995	DPY19L3
	DPY19L3
ENSP00000466086	DPY19L3
ENSP00000344937	DPY19L3
ENSP00000466062	DPY19L3
	DPY19L3
ENSP00000465997	DPY19L3
	DPY19L3
ENSP00000474174	DPY19L3
	DPY19L3
	DPY19L3
ENSP00000376081	DPY19L3
	AL713852.1
	AC104984.1
ENSP00000480456	KIR3DL1
ENSP00000484350	KIR3DL1
ENSP00000396105	FAM161A
ENSP00000416861	FAM161A
ENSP00000385158	FAM161A
ENSP00000385893	FAM161A
	FAM161A
	FAM161A
ENSP00000303170	FAM161A
ENSP00000318147	EDEM3
ENSP00000390536	EDEM3
	EDEM3
	EDEM3
	EDEM3
ENSP00000356482	EDEM3
	MYL6P2
ENSP00000365630	RASEF
ENSP00000345651	RASEF
	HCG25
	HCG25
	HCG25
	HCG25
ENSP00000374919	TRBV23-1
ENSP00000323587	ITLN1
	ITLN1
	ITLN1
ENSP00000359904	TYW3
ENSP00000477469	TYW3
ENSP00000476365	TYW3
	TYW3
	TYW3
	TYW3
	TYW3
ENSP00000407025	TYW3
ENSP00000363117	FGR
ENSP00000363116	FGR
ENSP00000363115	FGR
ENSP00000407670	FGR
	FGR
	FGR
ENSP00000382126	FGR
	AL391262.1
ENSP00000414039	FAM129A
ENSP00000356481	FAM129A
	FAM129A
	FAM129A
	FAM129A
ENSP00000483946	PHF19
ENSP00000363003	PHF19
	PHF19
	PHF19
	PHF19
	PHF19
ENSP00000395938	PHF19
	PHF19
	PHF19
ENSP00000404655	PHF19
ENSP00000408479	PHF19
ENSP00000310372	PHF19
ENSP00000397935	PHF19
ENSP00000407433	PHF19
	KIR2DP1
	AL354714.2
ENSP00000483620	KIR2DS4
	AL023284.1
ENSP00000478362	KIR2DL4
	AL023284.4
	ILF3
ENSP00000384660	ILF3
ENSP00000465219	ILF3
ENSP00000468134	ILF3
ENSP00000466396	ILF3
ENSP00000465654	ILF3
ENSP00000468323	ILF3
ENSP00000466991	ILF3
ENSP00000468092	ILF3
ENSP00000250241	ILF3
ENSP00000465515	ILF3
ENSP00000468181	ILF3
ENSP00000468156	ILF3
ENSP00000464974	ILF3
